Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_02_00_43,0,0,81,33
2023_06_02_00_43,0,0,81,33
2023_06_02_00_44,0,0,81,33
2023_06_02_00_44,0,0,82,33
2023_06_02_00_45,0,0,82,33
2023_06_02_00_45,0,0,82,32
2023_06_02_00_46,0,0,82,32
2023_06_02_00_46,0,0,81,32
2023_06_02_00_47,0,0,82,32
2023_06_02_00_47,0,0,82,33
2023_06_02_00_48,0,0,81,35
2023_06_02_00_48,0,0,82,36
2023_06_02_00_49,0,0,81,37
2023_06_02_00_49,0,0,81,38
2023_06_02_00_50,0,0,82,38
2023_06_02_00_50,0,0,82,39
2023_06_02_00_51,0,0,81,41
2023_06_02_00_51,0,0,82,42
2023_06_02_00_52,0,0,82,43
2023_06_02_00_52,0,0,81,43
2023_06_02_00_53,0,0,81,44
2023_06_02_00_53,0,0,81,45
2023_06_02_00_54,0,0,81,46
2023_06_02_00_54,0,0,82,47
2023_06_02_00_55,0,0,82,47
2023_06_02_00_55,0,0,81,47
2023_06_02_00_56,0,0,82,48
2023_06_02_00_56,0,0,82,47
2023_06_02_00_57,0,0,82,48
2023_06_02_00_57,0,0,82,48
2023_06_02_00_58,0,0,82,49
2023_06_02_00_58,0,0,81,49
2023_06_02_00_59,0,0,82,50
2023_06_02_00_59,0,0,81,50
2023_06_02_01_00,0,0,82,50
2023_06_02_01_00,0,0,81,51
2023_06_02_01_01,0,0,81,51
2023_06_02_01_01,0,0,82,51
2023_06_02_01_02,0,0,81,52
2023_06_02_01_02,0,0,81,52
2023_06_02_01_03,0,0,81,52
2023_06_02_01_03,0,0,82,52
2023_06_02_01_04,0,0,81,52
2023_06_02_01_04,0,0,82,52
2023_06_02_01_05,0,0,82,52
2023_06_02_01_05,0,0,81,52
2023_06_02_01_06,0,0,81,52
2023_06_02_01_06,0,0,81,53
2023_06_02_01_07,0,0,81,53
2023_06_02_01_07,0,0,82,53
2023_06_02_01_08,0,0,81,53
2023_06_02_01_08,0,0,82,53
2023_06_02_01_09,0,0,81,53
2023_06_02_01_09,0,0,82,53
2023_06_02_01_10,0,0,82,53
2023_06_02_01_10,0,0,82,53
2023_06_02_01_11,0,0,82,53
2023_06_02_01_11,0,0,81,53
2023_06_02_01_12,0,0,81,53
2023_06_02_01_12,0,0,82,53
2023_06_02_01_13,0,0,82,54
2023_06_02_01_13,0,0,81,54
2023_06_02_01_14,0,0,82,54
2023_06_02_01_14,0,0,81,54
2023_06_02_01_15,0,0,81,54
2023_06_02_01_15,0,0,82,54
2023_06_02_01_16,0,0,82,55
2023_06_02_01_16,0,0,82,54
2023_06_02_01_17,0,0,82,55
2023_06_02_01_17,0,0,82,55
2023_06_02_01_18,0,0,82,55
2023_06_02_01_18,0,0,81,55
2023_06_02_01_19,0,0,81,55
2023_06_02_01_19,0,0,82,55
2023_06_02_01_20,0,0,82,55
2023_06_02_01_20,0,0,81,56
2023_06_02_01_21,0,0,82,56
2023_06_02_01_21,0,0,82,55
2023_06_02_01_22,0,0,82,56
2023_06_02_01_22,0,0,82,56
2023_06_02_01_23,0,0,82,56
2023_06_02_01_23,0,0,81,56
2023_06_02_01_24,0,0,81,56
2023_06_02_01_24,0,0,81,56
2023_06_02_01_25,0,0,81,56
2023_06_02_01_25,0,0,81,56
2023_06_02_01_26,0,0,82,57
2023_06_02_01_26,0,0,81,57
2023_06_02_01_27,0,0,82,56
2023_06_02_01_27,0,0,82,57
2023_06_02_01_28,0,0,82,56
2023_06_02_01_28,0,0,81,57
2023_06_02_01_29,0,0,81,57
2023_06_02_01_29,0,0,82,57
2023_06_02_01_30,0,0,81,58
2023_06_02_01_30,0,0,81,57
2023_06_02_01_31,0,0,82,57
2023_06_02_01_31,0,0,82,57
2023_06_02_01_32,0,0,81,58
2023_06_02_01_32,0,0,82,57
2023_06_02_01_33,0,0,82,57
2023_06_02_01_33,0,0,81,58
2023_06_02_01_34,0,0,81,58
2023_06_02_01_34,0,0,81,58
2023_06_02_01_35,0,0,82,58
2023_06_02_01_35,0,0,82,58
2023_06_02_01_36,0,0,82,57
2023_06_02_01_36,0,0,82,56
2023_06_02_01_37,0,0,81,55
